number,rgb,name,description
L118,"[0, 225, 235]",Light Blue,A strong night effect.
L724,"[105, 225, 235]",Ocean Blue,Useful at low levels of light. Good for dull skies and moonlight.
L144,"[90, 225, 230]",No Colour Blue,A clean blue with hints of green. Good for moonlight and sidelight.
L725,"[190, 242, 243]",Old Steel Blue,"Cool wash, useful for highlights."
L117,"[180, 250, 245]",Steel Blue,Good for cool washes. Adds a pale green tint. Great for emulating icy weather on stage.
L140,"[135, 240, 235]",Summer Blue,Good for light midday sky. Light blue tinted wash.
L353,"[97, 232, 227]",Lighter Blue,Good for daylight effects.
L172,"[0, 220, 220]",Lagoon Blue,A floodlit warm wash. Great for underwater scenes and ballet.
L354,"[0, 240, 215]",Special Steel Blue,A cooling blue-green wash for stage and set lighting.
L729,"[0, 175, 170]",Scuba Blue,Used in musical performances for a rear colour wash or set lighting.
L116,"[0, 200, 185]",Medium Blue-Green,A pleasing effect for theatrical lighting.
L115,"[0, 235, 200]",Peacock Blue,"A pleasing effect on set Good for cyclorama and backlighting (e.g. ice rinks, galas, etc)."
L327,"[0, 140, 80]",Forest Green,"A deep green for sinister forest scenes, cycloramas and backlighting."
L124,"[0, 220, 120]",Dark Green,Good for cycloramas and backlighting.
L735,"[0, 190, 120]",Velvet Green,A beautiful background colour. Victorian melodrama. A night time green.
L323,"[0, 225, 170]",Jade,"Used for underwater scenes, cycloramas and backlighting."
L322,"[65, 245, 190]",Soft Green,"A cool green used for gobo cover, pantomimes and cycloramas."
L131,"[100, 250, 210]",Marine Blue,Good for romantic moonlight. Often used in ballet and underwater scenes.
L219,"[155, 220, 175]",LEE Fluorescent Green,"General tungsten to fluorescent correction for use when fluorescent colour temp is unknown, to provide medium correction."
L241,"[170, 220, 195]",LEE Fluorescent 5700 Kelvin,Converts tungsten to fluorescent light of 5700K (cool white/daylight).
L728,"[200, 235, 210]",Steel Green,Approaching storms. Overcast days. Cold steely light. Malevolent moonlight.
L504,"[210, 245, 220]",Waterfront Green,Designed for period key light and modern urban horizons.
L730,"[220, 255, 230]",Liberty Green,A good green for creating mystery and suspense.
L242,"[185, 230, 185]",LEE Fluorescent 4300 Kelvin,Converts tungsten to fluorescent light of 4300K (white).
L243,"[205, 245, 175]",LEE Fluorescent 3600 Kelvin,Converts tungsten to fluorescent light of 3600K (warm white).
L213,"[230, 252, 220]",White Flame Green,Corrects white flame carbon arcs by absorbing ultra violet.
L246,"[245, 255, 230]",Quarter Plus Green,Used on daylight and tungsten lights for green cast with discharge lighting. Approximates CC075 green camera filter.
L731,"[225, 250, 215]",Dirty Ice,"Dirtier than 730 Liberty green, more orange, sympathetic with skin tones."
L733,"[235, 247, 207]",Damp Squib,"A dirty green, reduces warmth. Good for cross lighting."
L245,"[240, 252, 210]",Half Plus Green,Used on daylight and tungsten lights for green cast with discharge lighting. Approximates CC15 green camera filter.
L244,"[230, 250, 190]",LEE Plus Green,Used on daylight and tungsten lights for green cast with discharge lighting. Approximates CC30 green camera filter.
L138,"[220, 255, 160]",Pale Green,Good with gobos for wooded scenes.
L088,"[220, 255, 100]",Lime Green,"Use with gobos for leafy glades. Good for pantomimes, giving a slightly sinister atmosphere."
L505,"[227, 255, 90]",Sally Green,"A fresh, light and airy summer green. 'Under tree canopy' light quality without 'pantomime countryside'."
L738,"[170, 255, 0]",JAS Green,"A rich yellowish green. Useful as a concert stage wash where darker skin tone, costume and set are a consideration."
L121,"[180, 255, 100]",LEE Green,"Good for dense foliage, tropical jungle or woodland effect."
L122,"[120, 250, 110]",Fern Green,Good for cycloramas and creates a great mood effect.
L089,"[90, 220, 90]",Moss Green,"Good mood creator. Used with gobos, creates a great foliage effect."
L139,"[75, 195, 0]",Primary Green,Good for set lighting and cyclorama lighting.
L090,"[0, 190, 0]",Dark Yellow Green,Highlighting for forest effects.
L736,"[0, 170, 0]",Twickenham Green,"A powerful green with depth, for music or light entertainment."
L740,"[90, 110, 0]",Aurora Borealis Green,Primary jungle colour. Removes some red and blue. Works best with daylight bulbs. Sodium lamp effect.
L741,"[130, 100, 0]",Mustard Yellow,Spooky when used in haze. Removes some red and blue. Works best with daylight bulbs. Sodium lamp effect.
L642,"[150, 130, 0]",Half Mustard Yellow,"Half strength Sodium light effect, designed for use with daylight sources."
L643,"[180, 160, 0]",Quarter Mustard Yellow,"Quarter strength Sodium light effect, designed for use with daylight sources."
L650,"[200, 168, 98]",Industry Sodium,Used on tungsten to blend with sodium light.
L746,"[110, 60, 0]",Brown,"To give a murky, dirty feel to tungsten. A darker, less pink chocolate."
L653,"[150, 85, 0]",LO Sodium,Used on tungsten to create a Low Pressure Sodium look.
L511,"[150, 60, 0]",Bacon Brown,An intense and warm deep brown. Recreates the pigment browns used by Francis Bacon in some of his paintings.
L742,"[225, 155, 80]",Bram Brown,"Dirtier than 156 Chocolate, good for skin tones. Dims well and doesn't go pink at low light levels."
L208,"[230, 165, 80]",Full CTO + .6 ND,Converts daylight (6500K) to tungsten (3200K) and reduces light 2 stops.
L207,"[240, 180, 107]",Full CTO + .3 ND,Converts daylight (6500K) to tungsten (3200K) and reduces light 1 stop.
L232,"[237, 190, 131]",Super Correction W.F. Green,"Converts white flame arc to 3200K, for use with Tungsten film."
L230,"[220, 190, 140]",Super Correction LCT Yellow,Converts yellow carbon arc (of low colour temperature) to tungsten.
L156,"[225, 180, 140]",Chocolate,Warms light and reduces the intensity.
L237,"[252, 178, 146]",CID (to Tungsten),"Converts CID to 3200K, for use with Tungsten film."
L747,"[245, 185, 159]",Easy White,"Primarily developed for fluorescents to ensure warm, comfortable light and flattering skin tones."
L238,"[245, 185, 170]",CSI (to Tungsten),"Converts CSI to 3200K, for use with Tungsten film."
L152,"[255, 210, 193]",Pale Gold,Used with interior lighting to enhance skin tones.
L162,"[252, 222, 216]",Bastard Amber,A warm white / warm wash. Good lamplight effect.
L506,"[255, 218, 206]",Marlene,Flattering skin tone without the comedy 'pink'. For Marlene Dietrich who knew the importance of beautiful lighting.
L009,"[252, 215, 179]",Pale Amber Gold,Perfect warm front light for any skin tone.
L205,"[252, 217, 177]",Half CTO,Converts daylight (6500K) to tungsten light (3800K).
L442,"[252, 220, 173]",Half CT Straw,Converts 6500K to 4300K - daylight to tungsten light with a yellow bias.
L013,"[252, 216, 155]",Straw Tint,Warmer than other straw colours. A good sunlight effect when used in contrast with ambers and blues.
L764,"[252, 230, 180]",Sun Colour Straw,"Adds warmth, bright sunlight."
L103,"[252, 234, 204]",Straw,Pale sunlight through a window and a good warm winter effect.
L206,"[252, 234, 214]",Quarter CTO,Converts daylight (6500K) to tungsten light (4600K).
L443,"[252, 239, 219]",Quarter CT Straw,Converts 6500K to 5100K - daylight to tungsten light with a yellow bias.
L763,"[252, 240, 210]",Wheat,"Adds warmth, sunlight."
L212,"[255, 250, 215]",LCT Yellow (Y1),Reduces colour temperature of low carbon arcs to 3200K.
L007,"[250, 250, 210]",Pale Yellow,Sunlight.
L765,"[255, 229, 145]",LEE Yellow,Useful for producing a strong sunlight effect.
L102,"[255, 220, 95]",Light Amber,A warm yellow colour. Great for candlelight or warm bright sunlight effects.
L550,"[227, 202, 60]",ALD Gold,"A 'proper' gold to celebrate the 50th Anniversary of the ALD. Maintains richness as it dims, becoming more molten."
L513,"[245, 255, 125]",Ice and a Slice,A pale acidic spring yellow. For a sharp white wash.
L514,"[245, 255, 90]",Double G&T,"Double 513, when only a double will do. Has a more acidic bite."
L100,"[245, 255, 0]",Spring Yellow,"A sunlight wash - use with gobos, disco and dark skin tones."
L010,"[255, 255, 0]",Medium Yellow,A pure bright yellow. Great for special effects and accents. Use with caution in acting areas.
L101,"[255, 245, 0]",Yellow,Sunlight and window effect - pleasant in acting areas.
L767,"[255, 230, 0]",Oklahoma Yellow,A rich blend of bright sunshine and warm ochre overtones.
L104,"[255, 220, 0]",Deep Amber,"Good for sunlight effect, accents and side light. Be careful of skin tones under the reddish tint of this colour."
L015,"[255, 205, 0]",Deep Straw,A warm amber light. Good for effects such as candlelight and fire.
L768,"[255, 198, 0]",Egg Yolk Yellow,"A bold strong chemical yellow, less orange/red than 179 Chrome orange."
L179,"[255, 190, 0]",Chrome Orange,"A combination of 1/2 CTO and double strength 104, perfect for sunlight."
L020,"[255, 190, 85]",Medium Amber,Good for afternoon sunlight and candlelight. Also great for side lighting.
L770,"[255, 180, 0]",Burnt Yellow,"A colour that feels warm and dense on camera, a balance between 179 and 105."
L105,"[255, 160, 0]",Orange,Good for light entertainment and functions. Creates a good fire effect when used with 106 or 104.
L777,"[245, 130, 0]",Rust,A vivid rust colour effect.
L512,"[204, 97, 0]",Amber Delight,A dark dirty orange.
L652,"[255, 130, 70]",Urban Sodium,Used on tungsten to create the orange glow associated with Sodium light.
L287,"[255, 160, 85]",Double CTO,Converts daylight (6500K) to tungsten (2147K).
L286,"[255, 180, 100]",One and a Half CTO,Converts daylight (6500K) to tungsten (2507K).
L204,"[250, 195, 135]",Full CTO,Converts daylight (6500K) to tungsten light (3200K).
L441,"[250, 192, 132]",Full CT Straw,Converts 6500K to 3200K - daylight to tungsten light with a yellow bias.
L744,"[248, 200, 130]",Dirty White,Correct a daylight source to an off white tungsten source. Wwith tungsten provides a dingy smoky bar effect.
L285,"[252, 205, 148]",Three Quarter CTO,Converts daylight (6500K) to tungsten light (3600K).
L236,"[250, 199, 149]",HMI (to Tungsten),"Converts HMI to 3200K, for use with Tungsten film."
L604,"[255, 194, 149]",Full CT Eight Five,Converts Daylight (6500K) to Tungsten light (3200K) with a red bias. Orange effect similar to sodium when used on Tungsten.
L651,"[255, 155, 95]",HI Sodium,Used on tungsten to create a High Pressure Sodium look.
L017,"[230, 140, 100]",Surprise Peach,Good for skin tones and creating a moody lighting effect.
L134,"[250, 168, 115]",Golden Amber,Great for emulating a sunset. Also good for side lighting and cyclorama lighting.
L147,"[252, 185, 140]",Apricot,"Good for sunrise, sunset and lamplight effects."
L776,"[252, 190, 155]",Nectarine,Romantic sunset. Period pieces.
L773,"[252, 197, 178]",Cardbox Amber,Warm tint for skin tones.
L108,"[252, 190, 169]",English Rose,Warm tint wash. Dark flesh tones and softer skin tones.
L008,"[252, 155, 128]",Dark Salmon,"Enhances dark skin tones, sunsets, ballroom sets."
L779,"[252, 152, 133]",Bastard Pink,Deep sunset. Useful on dark skin tones.
L158,"[255, 135, 0]",Deep Orange,A great fire effect.
L021,"[255, 140, 50]",Gold Amber,"Great for sunsets, cyclorama lighting and fire effects."
L778,"[255, 118, 0]",Millennium Gold,"Useful for lighting architecture. Produces a rich amber on tungsten, or a much cooler effect on a HMI lamp."
L780,"[255, 111, 0]",AS Golden Amber,"Between 778 Millennium Gold and 135 Deep Golden Amber, but less red. A strong colour good for backlighting."
L022,"[255, 105, 0]",Dark Amber,A good backlight.
L135,"[255, 95, 0]",Deep Golden Amber,A great fire effect.
L781,"[255, 80, 0]",Terry Red,"A strong amber red that works well when used against deep reds and dark ambers, in wash combinations and on cycloramas."
L025,"[255, 110, 70]",Sunset Red,"A good warm stage wash, TV studio wash or sunset effect."
L507,"[248, 80, 0]",Madge,"Madge' is short for Imagination. Denser, saturated orange version of 135 avoiding 'pinky red'."
L019,"[255, 70, 0]",Fire,A strong red/amber. Great for fire effects.
L164,"[255, 50, 0]",Flame Red,Great for fire effects.
L182,"[245, 0, 0]",Light Red,Good for theatre and television effect lighting as well as cycloramas.
L106,"[240, 0, 50]",Primary Red,Strong red effect. Good with cyclorama lighting.
L789,"[170, 60, 50]",Blood Red,For a deep saturated red effect. Used when a strong vivid red effect is required.
L787,"[185, 0, 60]",Marius Red,Nice deep full red. Rose leaf colour.
L027,"[200, 0, 60]",Medium Red,"Good for cyclorama lighting, side lighting and footlights. Also good for colour mixing."
L029,"[225, 0, 60]",Plasa Red,"Good for fire effects, musicals and cycloramas."
L026,"[230, 0, 60]",Bright Red,"A vibrant red, good for cyclorama lighting."
L024,"[255, 90, 100]",Scarlet,"Great for pantomimes, ballroom sets and fire effects."
L157,"[255, 146, 163]",Pink,Great for dance sequences (useful for softening white costumes without affecting skin tones).
L107,"[255, 165, 175]",Light Rose,Good for general washes and followspots.
L109,"[255, 178, 175]",Light Salmon,Interesting backlight.
L176,"[255, 170, 160]",Loving Amber,Used for backlighting and general areas. Great for sunrise effect and warming skin tones.
L790,"[255, 180, 165]",Moroccan Pink,"A rich natural pink, good for producing late afternoon sun effects."
L036,"[255, 160, 185]",Medium Pink,Good for general washes and side lighting.
L192,"[255, 140, 180]",Flesh Pink,Good for musical and pantomime key lighting.
L111,"[255, 140, 190]",Dark Pink,Good for cyclorama lighting.
L794,"[255, 175, 220]",Pretty 'n Pink,Creates warm and soft effects.
L002,"[255, 120, 220]",Rose Pink,"Strong pink wash, good for cycloramas."
L328,"[255, 100, 200]",Follies Pink,Great for dramatic stage lighting.
L795,"[250, 70, 200]",Magical Magenta,Rich mixture of red and pinks.
L128,"[255, 80, 180]",Bright Pink,Created for use as backlighting and side lighting. Great for musicals.
L793,"[255, 60, 160]",Vanity Fair,"A rich glamorous pink, good for use on special occasions."
L332,"[255, 55, 135]",Special Rose Pink,"Great for Pantomimes, light entertainment etc. A good strong stage wash."
L148,"[255, 80, 125]",Bright Rose,Great for fire effects and musicals.
L046,"[220, 0, 90]",Dark Magenta,"A very strong pink, good for backlighting."
L113,"[255, 0, 100]",Magenta,Very strong - used carefully for small areas on set.
L127,"[225, 98, 115]",Smokey Pink,"Good for cycloramas, set lighting and discos."
L748,"[233, 103, 133]",Seedy Pink,A smoky pink. Good for tungsten on skin tones.
L110,"[255, 180, 200]",Middle Rose,Pleasing effects for theatrical lighting.
L247,"[250, 195, 215]",LEE Minus Green,Eliminates unwanted green cast created by discharge light sources on film. Approximates CC30 magenta camera filter.
L035,"[255, 200, 210]",Light Pink,A warm wash good for musical reviews.
L153,"[255, 200, 200]",Pale Salmon,Good for backlighting in conjunction with white light.
L004,"[255, 200, 180]",Medium Bastard Amber,Naturally enhances skin tones.
L151,"[255, 205, 195]",Gold Tint,A pleasing effect for theatrical lighting.
L154,"[255, 213, 207]",Pale Rose,A pleasing effect for theatrical lighting. A good lamplight effect.
L248,"[255, 226, 228]",Half Minus Green,Eliminates unwanted green cast created by discharge light sources on film. Approx. CC15 magenta camera filter.
L249,"[255, 236, 240]",Quarter Minus Green,Eliminates unwanted green cast created by discharge light sources on film. Approx. CC075 magenta camera filter.
L279,"[255, 243, 247]",Eighth Minus Green,Provides very slight correction. Used on lighting to eliminate unwanted green cast created by discharge light sources on film.
L003,"[250, 240, 250]",Lavender Tint,Subtle cool wash for stage and studio lighting.
L218,"[245, 255, 255]",Eighth CTB,Converts tungsten (3200K) to daylight (3400K).
L278,"[243, 255, 243]",Eighth Plus Green,Used on daylight and tungsten to provide very slight green cast when used in conjunction with discharge lighting.
L159,"[255, 250, 235]",No Colour Straw,A warm effect. Sunlight.
L223,"[255, 243, 232]",Eighth CTO,Converts daylight (6500K) to tungsten light (5550K).
L444,"[250, 243, 232]",Eighth CT Straw,Converts 6500K to 5700K - daylight to tungsten light with a yellow bias.
L602,"[165, 165, 170]",Platinum,"At full power produces dazzling grey light with slight red bias, when dimmed warms up quickly to a useful brown."
L603,"[200, 205, 205]",Moonlight White,"Pleasant white light at full power, dims down to a warm colour and at low intensities has more yellow than red."
L130,"[255, 255, 255]",Clear,Used in animation and projection work.
R00 ,"[255, 255, 255]",Dempster Open White,"A durable, heat resistant polycarbonate film used in the preparation of color scrollers to allow the passage from a color to clear. (Transmission = 96%)."
R01 ,"[251, 179, 154]",Light Bastard Amber,Enhances fair skin tones. Suggests strong sunlight. (Transmission = 56%).
R02 ,"[255, 209, 172]",Bastard Amber,Good where a tint of color is needed. Excellent for natural skin tones. (Transmission = 78%).
R03 ,"[251, 186, 154]",Dark Bastard Amber,Most saturated Bastard Amber. (Transmission = 62%).
R303,"[255, 138, 74]", Warm Peach,Heavier Amber-pink tint. Useful to create warm sunlight. (Transmission = 55%).
R04 ,"[249, 176, 154]",Medium Bastard Amber,Especially useful when cross lit with a cool color. Excellent for natural sunlight. (Transmission = 66%).
R304,"[250, 188, 169]", Pale Apricot,A peach amber. More yellow than 305. (Transmission = 79%).
R05 ,"[255, 215, 211]",Rose Tint,A clean pale pink; useful as a blush for skin tones. (Transmission = 80%).
R305,"[245, 186, 184]", Rose Gold,A pale blush amber for skin tones and backlight. (Transmission = 75%).
R07 ,"[253, 250, 209]",Pale Yellow,Double saturation of 06. (Transmission = 96%).
R09 ,"[255, 203, 134]",Pale Amber Gold,Deep straw. Good for late afternoon sunsets or firelight. (Transmission = 74%).
R10 ,"[255, 242, 0]",Medium Yellow,Yellow with green. Good for special effects. Unflattering in acting areas. (Transmission = 92%).
R11 ,"[255, 210, 26]",Light Straw,Pale yellow with slight red content. Useful for candle effects. Can be used for area lighting. For bright day feeling. (Transmission = 82%).
R312,"[255, 234, 0]", Canary,"Warmer than 10. A bright, vibrant yellow that evokes exotic sunlight. Use with caution on skin. (Transmission = 85%)."
R13 ,"[255, 216, 143]",Straw Tint,Much less green than in other straws. Suggests warm sunlight glow when contrasted with ambers and blues. (Transmission = 78%).
R313,"[255, 228, 98]", Light Relief Yellow,Vibrant Yellow. More red than 312. Less green than all other yellows. (Transmission = 76%).
R14 ,"[252, 212, 25]",Medium Straw,"Pale amber-higher red content than 12. Sunlight, accents, area lighting with caution to skin tones. (Transmission = 68%)."
R15 ,"[254, 203, 0]",Deep Straw,"Warm golden amber with some green. Useful for special effects-candlelight, firelight. (Transmission = 65%)."
R317,"[255, 116, 24]", Apricot,A rosy amber which produces a romantic sunset color. Useful as sidelight or backlight color. (Transmission = 51%).
R318,"[255, 111, 41]", Mayan Sun,A medium salmon color which evokes feeling of a tropical island. A good sunset color. Interesting backlight and accent color. Good for warm tonal effects. (Transmission = 52%).
R19 ,"[255, 57, 11]",Fire,Strong red amber. Excellent for fire effects. (Transmission = 20%).
R20 ,"[255, 135, 28]",Medium Amber,Afternoon sunlight. Lamplight and candlelight. Tends to depress color pigment values. (Transmission = 54%).
R21 ,"[255, 102, 19]",Golden Amber,Useful for amber cyc light and late sunsets. (Transmission = 43%).
R22 ,"[255, 67, 10]",Deep Amber,Very useful as a backlight. Dramatic specials and firelight. (Transmission = 26%).
R23 ,"[255, 90, 0]",Orange,Provides a romantic sunlight through windows for evening effects. (Transmission = 32%).
R24 ,"[245, 0, 20]",Scarlet,Very deep amber. Red with a touch of blue. (Transmission = 22%).
R324,"[245, 15, 57]", Gypsy Red,Vibrant orange-red. Helps red and orange scenery pop. (Transmission = 31%).
R25 ,"[229, 31, 0]",Orange Red,Good for firelight or special effects. Use when red with higher yellow content is needed. (Transmission = 14%).
R26 ,"[215, 2, 41]",Light Red,Vibrant red. Good alternative primary. (Transmission = 12%).
R27 ,"[176, 2, 2]",Medium Red,"Good red primary for use with three-color light primary systems in cyclorama lighting, footlights, and border lights. (Transmission = 4%)."
R30 ,"[255, 122, 89]",Light Salmon Pink,Excellent for general area washes. Gives overall warming effect to skin tones. (Transmission = 44%).
R31 ,"[255, 132, 127]",Salmon Pink,General wash. Good for follow spots. (Transmission = 46%).
R331,"[255, 157, 141]", Shell Pink,Warmer and lighter than 31. Good for fair skin tones and to emphasize romance. (Transmission = 68%).
R32 ,"[255, 65, 60]",Medium Salmon Pink,Deepest of the salmon pinks. (Transmission = 28%).
R332,"[255, 41, 87]", Cherry Rose,A tropical pink that is good for musicals or concert lighting. A good backlight color. Interesting accent color. Good for a splash of sunset color. (Transmission = 38%).
R33 ,"[255, 194, 208]",No Color Pink,A pale almost colorless pink. (Transmission = 65%).
R35 ,"[255, 167, 187]",Light Pink,"Similar to 33, but slightly deeper. (Transmission = 66%)."
R36 ,"[255, 109, 150]",Medium Pink,Good for general washes and cross lighting. (Transmission = 46%).
R336,"[255, 115, 183]", Billington Pink,(Transmission = 48%).
R337,"[255, 175, 194]", True Pink,A cool pink excellent for washes and general illumination. A good follow spot color. A component of early morning sunrise. (Transmission = 55%).
R38 ,"[255, 187, 226]",Light Rose,"Similar uses as 37, but with greater saturation. (Transmission = 49%)."
R339,"[255, 18, 131]", Broadway Pink,"A deep, saturated pink created for musicals and specials. Excellent for down and backlighting. (Transmission = 15%)."
R39 ,"[232, 0, 188]",Skelton Exotic Sangria,"A sultry, deep purple. Good for musicals or concert lighting. Excellent special effects color. (Transmission = 10%)."
R40 ,"[255, 79, 31]",Light Salmon,Similar uses to 23 but a bluer color. (Transmission = 34%).
R342,"[255, 21, 98]", Rose Pink,"Extremely intense, hot pink. Produces strong washes of color for concert and dance. Combined with a complimentary color like turquoise, will create a dynamic, sculptured effect. (Transmission = 16%)."
